code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_disponible
11150;199;451;18910
11151;240;523;20570
11152;70;142;18180
11153;110;248;21820
11154;NULL;NULL;NULL
11155;NULL;NULL;NULL
11156;53;107;19690
11157;107;216;16840
11158;133;293;22110
11159;70;151;17210
11160;NULL;NULL;NULL
11161;59;124;20690
11162;NULL;NULL;NULL
11163;NULL;NULL;NULL
11164;621;1328;21250
11165;155;309;21710
11166;NULL;NULL;NULL
11167;43;107;19900
11168;60;109;17980
11169;NULL;NULL;NULL
11170;3019;5236;20710
11172;289;577;18300
11173;59;123;17920
11174;NULL;NULL;NULL
11175;210;461;21000
11176;NULL;NULL;NULL
11177;NULL;NULL;NULL
11178;527;1238;21150
11179;45;101;18590
11180;NULL;NULL;NULL
11181;178;377;20630
11182;88;169;18870
11183;115;252;20160
11184;NULL;NULL;NULL
11185;226;428;19220
11186;NULL;NULL;NULL
11187;NULL;NULL;NULL
11188;890;1976;21350
11189;53;104;18930
11190;516;1064;18810
11191;53;108;14910
11192;315;677;20870
11193;112;284;19650
11194;68;129;18260
11195;168;410;21170
11196;79;169;20600
11197;265;605;20260
11198;460;952;19110
11199;623;1496;21580
11200;75;129;16250
11201;351;819;22840
11202;2811;4720;20860
11203;4449;9356;18860
11204;NULL;NULL;NULL
11205;58;122;19560
11206;4559;9094;19570
11207;114;246;20410
11208;NULL;NULL;NULL
11209;114;241;19590
11210;480;1049;19840
11211;222;511;21690
11212;236;553;18680
11213;NULL;NULL;NULL
11214;185;406;21570
11215;378;866;22890
11216;157;322;21780
11217;579;1299;21120
11218;NULL;NULL;NULL
11219;NULL;NULL;NULL
11220;319;673;19880
11221;114;233;19820
11222;84;165;20040
11223;NULL;NULL;NULL
11224;NULL;NULL;NULL
11225;381;913;21370
11226;NULL;NULL;NULL
11227;NULL;NULL;NULL
11228;74;157;16680
11229;NULL;NULL;NULL
11230;NULL;NULL;NULL
11231;NULL;NULL;NULL
11232;NULL;NULL;NULL
11233;341;742;21560
11234;76;180;22040
11235;NULL;NULL;NULL
11236;103;228;21000
11238;54;117;22440
11239;NULL;NULL;NULL
11240;265;530;20570
10339;122;292;22670
10340;948;2315;22710
10341;132;312;23930
10342;163;414;23890
10343;3041;6484;21820
10344;366;910;24550
10345;176;390;22720
10346;NULL;NULL;NULL
10347;94;215;23410
10348;92;214;21680
10349;1207;2838;24510
10350;273;594;19940
10351;155;354;22890
10352;732;1713;24570
10353;370;917;21820
10354;53;121;24270
10355;NULL;NULL;NULL
10356;120;310;21500
10357;1284;2950;23210
10358;451;978;22420
10359;224;534;21710
10360;363;919;25700
10361;89;240;23770
10362;5267;10005;21130
10363;217;518;22870
10364;NULL;NULL;NULL
10365;58;121;22010
10366;NULL;NULL;NULL
10367;268;670;22380
10368;412;1027;22860
10369;88;183;20220
10370;103;234;21350
10371;124;305;23720
10372;145;359;21120
10373;177;390;23980
10374;70;151;23170
10375;144;351;25140
10376;67;151;23160
10377;50;111;21310
10378;NULL;NULL;NULL
10379;195;463;23830
10380;NULL;NULL;NULL
10381;390;962;27070
10382;425;960;21060
10383;71;159;21700
10384;88;224;20290
10386;91;205;20490
10387;26614;49551;17950
10388;NULL;NULL;NULL
10389;55;116;22610
10390;51;102;29680
10391;127;307;24870
10392;169;401;24130
10393;78;179;21830
10394;66;158;19920
10395;129;281;20740
10396;215;505;24800
10397;72;169;19900
10398;NULL;NULL;NULL
10399;282;677;21240
10400;63;129;20980
10401;977;2143;18630
10402;106;258;24750
10403;NULL;NULL;NULL
10404;48;104;22350
10405;NULL;NULL;NULL
10406;779;1914;24340
10408;47;114;21050
10409;236;594;23930
10410;59;116;20780
10411;NULL;NULL;NULL
10412;403;980;26140
10414;54;124;25740
10416;104;253;23840
10417;106;231;22290
10418;73;188;22110
10419;297;739;22480
10420;1021;2187;20580
10421;58;139;22050
10422;73;164;21490
10423;179;431;22970
10424;NULL;NULL;NULL
10425;122;283;22880
10426;382;799;18880
10427;104;214;28380
10428;49;103;22620
10429;100;249;21860
10430;NULL;NULL;NULL
10431;NULL;NULL;NULL
10432;NULL;NULL;NULL
10433;103;242;22680
10434;NULL;NULL;NULL
10435;75;184;25740
10436;75;181;21000
10437;265;581;19910
10438;110;237;25060
10439;54;118;21740
10440;75;146;27410
10441;111;233;19630
10442;266;681;21970
10443;NULL;NULL;NULL
10444;99;224;21120
10445;NULL;NULL;NULL
11001;249;544;17770
11002;68;181;22990
11003;104;200;21770
11004;131;257;18460
11005;542;1328;21650
11006;NULL;NULL;NULL
11007;57;107;17800
11008;218;383;18710
11009;666;1390;19160
11010;143;291;20150
11011;220;467;22390
11012;859;1948;20810
11013;186;373;20850
11014;638;1462;22610
11015;96;204;14670
11016;NULL;NULL;NULL
