code_commune;pop_00_14;pop_15_29;pop_30_44;pop_45_59;pop_60_74;pop_75_89;pop_90_p
21615;33,332396988556;42,5021654729874;26,5981496756796;49,19234710392;64,3579972734912;23,0169434853658;0
21616;32;11;38;60;39;15;1
21617;2256,03492194202;1734,19186462761;1887,32380450161;2209,65711166127;2177,72211270126;1298,22255200217;224,847632564047
21618;107,252504421227;79,246947559221;98,3289526241665;96,6804152576815;118,478497026364;51,4101658864426;12,6025172248971
21619;40,6238532110092;29,7247706422018;35,6697247706422;42,605504587156;51,5229357798165;13,8715596330275;1,98165137614679
21620;19,748427672956;15,7987421383648;28,6352201257862;29,622641509434;45,4213836477987;15,7987421383648;1,9748427672956
21622;42,3497942386831;27,8888888888889;48,5473251028807;59,9094650205761;39,2510288065844;26,8559670781893;6,19753086419753
21623;357,443003116599;221,678655869164;367,123066452335;362,319029653186;211,286592338189;41,4144466815739;1,73520588895274
21624;42;11;35;31;21;1;0
21625;10,1204819277108;10,1204819277108;18,2168674698795;23,2771084337349;15,1807228915663;6,07228915662651;1,01204819277108
21626;8,26666666666667;6,2;6,2;14,4666666666667;18,6;7,23333333333333;1,03333333333333
21627;13,2783505154639;6,63917525773196;13,2783505154639;18,020618556701;26,5567010309278;11,3814432989691;2,84536082474227
21628;7,109375;7,109375;10,15625;16,25;13,203125;9,140625;2,03125
21629;63,9444373352061;42,0279191358489;53,2169650155266;66,1006991000159;56,5103290423579;24,1975684758514;1,00208189519319
21630;43;30;37;51;41;12;2
21631;7,26415094339623;8,30188679245283;8,30188679245283;10,377358490566;17,6415094339623;1,0377358490566;2,07547169811321
21632;193,554840000384;173,89032943259;192,83245804632;269,145786078072;188,982913546423;29,3227478860455;2,27092501016571
21633;26,5561497326203;16,3422459893048;30,6417112299465;37,7914438502674;50,048128342246;24,5133689839572;5,10695187165775
21634;21,8405797101449;10,9202898550725;25,8115942028986;22,8333333333333;36,731884057971;14,8913043478261;3,97101449275362
21635;7,84615384615385;12,75;11,7692307692308;18,6346153846154;41,1923076923077;6,86538461538461;2,94230769230769
21636;35,9831533353701;21,9966782852008;34,9906454173084;59,0031048459188;63,0137457313408;35,0109543793712;4,0017180054901
21637;51;24;36;43;39;20;1
21638;273,177303149858;161,171833290617;272,8248994189;225,368514480841;135,741604308017;68,7480560071585;6,96778934460816
21639;153;97;146;157;133;49;3
21640;54,25;24,4656862745098;47,8676470588235;29,7843137254902;42,5490196078431;17,0196078431373;1,06372549019608
21641;78,6193901702851;54,5073057581399;90,4407530473015;96,4278884478039;107,4148724569;29,5126159635196;4,07717415605045
21642;66;61;63;87;86;46;4
21643;97;74;106;83;55;18;0
21644;28;33;32;47;26;3;0
21645;121,997923106572;92,2679259015466;107,811493607616;135,707591860982;105,581496075111;29,5962234096964;1,03734603847655
21646;16,8;12,6;25,2;37,8;18,9;12,6;2,1
21647;16,8583333333333;11,9;22,8083333333333;25,7833333333333;26,775;12,8916666666667;1,98333333333333
21648;31,6344996107638;20,7601403695637;33,6116558364365;33,6116558364365;33,6333298643994;16,8058279182183;4,94289056418184
21649;4,90740740740741;2,94444444444444;10,7962962962963;14,7222222222222;14,7222222222222;2,94444444444444;1,96296296296296
21650;22;20;25;46;26;8;0
21651;24,3872549019608;39,9950980392157;30,2401960784314;51,7009803921569;41,9460784313725;9,75490196078431;0,975490196078431
21652;59;18;65;60;71;22;0
21653;3,06122448979592;8,16326530612245;5,10204081632653;21,4285714285714;6,12244897959184;4,08163265306122;2,04081632653061
21655;41;20;35;47;53;34;1
21656;114,048261743911;109,607087457429;120,406875080146;180,453693362462;125,286627623516;40,2262021643719;0,971252568164574
21657;335,729963789891;220,471485631835;319,548222879979;418,423995271248;457,576099519856;224,661788136432;13,5884447707598
21659;28,827380952381;24,8511904761905;32,8035714285714;37,7738095238095;30,8154761904762;9,94047619047619;1,98809523809524
21660;8;8;3;15;12;7;0
21661;301,422787155069;232,326227242036;317,935991070234;374,167300182348;359,17182403432;166,917373766638;25,0584965493551
21662;2,74285714285714;3,65714285714286;6,4;8,22857142857143;6,4;4,57142857142857;0
21663;441,048618992619;420,895134968414;443,334716208407;548,847072370023;584,065488711508;324,925198914518;47,8837698345107
21664;12,8433734939759;10,8674698795181;7,90361445783132;15,8072289156626;21,7349397590361;11,855421686747;0,987951807228916
21665;29,6153846153846;25,3846153846154;30,6730769230769;42,3076923076923;29,6153846153846;6,34615384615385;1,05769230769231
21666;16;9;22;22;17;8;0
21667;75,1177035385745;62,2580704164595;64,0699556400624;91,5680472668437;72,6251860086654;28,3420615944787;2,0189755349157
21669;28;8;17;16;11;3;1
21670;55,407627251928;42,9303301867271;61,086339150102;44,7977112875093;60,9372188070871;20,9370519709016;1,90372134574487
21671;11;1;6;7;19;5;1
21672;6;3;6;7;3;2;1
21673;40,8093023255814;25,8790697674419;42,8;42,8;44,7906976744186;15,9255813953488;0,995348837209302
21674;26,3162912675462;14,0174223779257;24,4051093618315;48,19238308008;49,7632671965568;34,2184563760727;2,08707033998713
21675;4;1;5;6;13;9;0
21676;27;30;25;50;51;26;2
21677;27,5213675213675;9,82905982905983;22,6068376068376;21,6239316239316;22,6068376068376;10,8119658119658;0
21678;14,8387096774194;24,7311827956989;18,7956989247312;51,4408602150538;52,4301075268817;17,8064516129032;3,95698924731183
21679;22,8527131782946;25,968992248062;25,968992248062;31,1627906976744;16,6201550387597;11,4263565891473;0
21680;90,3385622252015;75,2912842213897;84,3269257570137;126,507682207321;80,3357557514436;47,1997898376305;0
21681;12,1411764705882;13,1529411764706;15,1764705882353;17,2;18,2117647058824;10,1176470588235;0
21682;62,564573976013;45,2227251723469;50,9153764627107;59,181590527957;42,2734563056219;7,88824907281505;2,95402848253542
21683;59,6645179463559;59,258677694411;49,3046342503097;68,0677389773843;71,8623191971643;35,8644966685071;12,9776152658677
21684;158;113;156;221;182;78;30
21685;45,3999346846079;26,1496624502359;40,2629141920828;57,1611097145987;51,0264367070987;31,0009031814012;1,99903906997478
21686;19,2638888888889;18,25;21,2916666666667;35,4861111111111;31,4305555555556;20,2777777777778;0
