code_commune;nb_familles;nb_familles_monoparentales
01250;573,031555342363;58,1757662000909
01252;232,922818647211;35,4447767293305
01254;695,13523779532;58,4027105795513
01255;186,006951131838;25,1162603138202
01257;104,989664398751;4,9944988048932
01258;379,976124579276;24,5761693477468
01259;215;15
01260;95;15
01261;217,946128237217;26,6652721923177
01262;1890,05127289318;280,305798329754
01263;1110;145
01264;311,080735870535;20,3099587352278
01265;989,991707414843;169,397693460979
01266;721,223129490791;123,137014432606
01267;307,58529286591;56,0466610056959
01268;74,5209470673409;14,7522920594824
01269;846,068541543867;192,39360675348
01272;424,090528919111;29,6734975846908
01273;517,614015602224;34,295518315287
01274;176,393209554165;49,0964611808329
01275;796,458560739513;72,0010898820702
01276;488,62401047323;40,2578509072477
01277;28,9915966386555;0
01279;22,9166666666667;0
01280;33,7588652482269;9,64539007092199
01281;1242,30675361364;151,145143238462
01282;75,0914505253668;10,1015125993043
01283;5930,33027122349;970,937482907
01284;225;25
01285;404,70849922448;55,6333510682767
01286;303,089336031217;15,2706340723334
01288;800,447745850073;110,503010316936
01289;1776,64001529048;225,767146154376
01290;402,816331836873;61,8499147865626
01291;278,510743417723;25,3128856445479
01293;46,1783439490446;0
01294;249,133108492765;33,6007971745132
01295;192,034742924753;19,6995127092758
01296;118,544749600911;10,108765616943
01297;272,343933578018;51,5312615033478
01298;52,3333333333333;0
01299;173,598753866647;10,5316760279798
01301;817,180247879755;78,5530067928541
01302;45;5
01303;463,765683849498;75,7467132891824
01304;830;135
01305;523,613736016616;88,8027943834076
01306;401,160514305406;125,4787273709
01307;251,18145638813;30,1365109207386
01308;228,959682660617;30,0046064834705
01309;23,5795454545455;9,43181818181818
01310;35,7412936364627;15,3176972727697
01311;15;0
01313;2445;405
01314;505,641340425842;20,4187585479297
01317;90,2483623767826;10,0122465553783
01318;223,526818361118;20,3564424237011
01319;150;10
01320;1175;110
01321;256,589120481074;10,2671633849408
01322;1459,87455872713;175,657327577843
01323;288,238015776343;9,69404002552083
01325;325,572447024818;33,0535864551137
01328;167,174090002152;16,1812726914424
01329;38,2926829268293;9,57317073170732
01330;60;0
01331;60;10
01332;255,5358571245;21,001824730581
01333;1008,98566767038;112,777852685617
01334;203,981185361375;5,35802278508608
01335;116,47129256736;14,9172343701596
01336;360;45
01337;422,779846670124;58,1470599075619
01338;354,635467715902;46,8548353100952
01339;453,50955056231;42,0719546733012
01342;165;10
01343;566,109939770871;62,3838062690589
01344;1824,2108969036;221,275743146077
01345;675;110
01346;265;15
01347;655;70
01348;870,343843939012;92,9387300603504
01349;184,330546120265;17,0051389625401
01350;759,964240381279;83,9361950412319
01351;469,743712447376;57,2047582360946
01352;164,062131202388;0
01353;522,056303996399;52,4315539248515
01354;3824,69557198415;551,831334307676
01355;139,324994578861;10,4689583348441
01356;58,2775119617225;0
01357;150;30
01358;131,165158829745;0
01359;81,2665962897355;9,5313180521673
01360;546,414182516917;59,26996912242
01361;502,653299703684;45,8429303346964
01362;254,072549332905;33,9620582811919
01363;514,111409882985;55,4532338037885
01364;235,06062666688;15,3136047826376
01365;357,439627767713;15,0926325392372
01366;331,94599963525;16,1119544526601
01367;197,311431668976;30,0609326417065
01368;242,166441236255;36,0595683798246
01369;296,293979791422;10,5002591388683
01370;371,569902940606;147,268446136647
01371;366,164274387366;40,2012546194087
01372;129,816811890291;34,5204212006244
01373;310;40
01374;570,780369256615;71,7221514693086
01375;247,304146942962;25,261566992995
01376;1104,70077939926;166,251413124872
01378;831,10100300155;62,6152156245829
01379;230;40
01380;165;20
01381;272,263519448955;30,7075912164702
01382;94,1583032523475;12,8961268932605
01383;442,689130939289;71,1512910234031
01384;555,680848819227;99,3768761312252
01385;307,084867374892;35,6635269498074
01386;350;70
01387;70;5
01388;296,738769522007;51,1441011097183
01389;509,230968437888;78,1432937676591
01390;344,934777327151;30,2182956417826
01391;85,307896346828;4,79881550155123
01392;207,605379880384;20,7508263981572
01393;160,869825223969;9,49931954432256
01396;279,394701225621;54,0766734879753
01397;308,71184133644;40,7987195781898
01398;430,91766410504;52,4865290347562
01399;619,174328022041;31,4074336882392
01400;40,5839416058394;0
01401;625;65
01402;198,156587060427;15,0195980336944
01403;395;60
01404;40;5
01405;363,631229909969;40,1925011536044
01406;49,7126436781609;4,97126436781609
01407;285,474315767828;60,037697791768
01408;212,92764346655;49,5179220704719
01410;100,207003460147;4,95881935701937
01411;72,3323729199853;10,146566852763
01412;182,529893998975;15,605769923545
01415;125;5
01416;261,065276309445;44,213635389665
01418;343,235482243121;25,6301537082864
01419;1791,73441498878;247,825472036889
01420;380;155
01421;206,353371590363;20,1110907578861
01422;424,510603606133;14,9518191529273
01423;364,834805191871;37,6490833157374
01424;570;80
01425;89,7977384261418;14,8173220089274
01426;755;110
01427;1917,53500995978;377,344137916352
01428;35,5555555555556;0
01429;224,237182939306;31,2259874258541
01430;195;30
01431;365,874642711598;40,1076601403318
01432;90,9880990007081;10,7036226718361
01433;75;5
01434;154,658940604207;15,3766998328352
01435;637,424131641775;74,8059927163102
01436;149,005023093491;23,7445901537012
01437;64,4170403587444;0
01439;35;5
01441;225,565373648094;15,6338998144197
01443;1366,1169831385;217,012922615794
01444;359,776078933507;60,1181783185639
01445;184,723111812455;10,1237383320262
01446;474,205790077557;46,6693302807565
01447;386,531414135039;30,9540062780014
01448;122,030540030357;0
01449;223,410171397647;0
01450;1150,34468368928;157,844511170756
01451;1978,12358997794;198,895772878977
01452;313,757936141342;64,8820513591732
01453;190,129784490117;9,97686741958944
01454;322,101446942976;55,3888471208631
01456;20;0
01457;912,589144317528;140,29909224011
02001;155;5
02002;184,454288264953;51,0756432853265
02003;309,874884380228;14,852121440683
02004;55;10
02005;120,026877143628;5,21283864943475
02006;79,5300452020273;4,95617273425311
02007;33,6;0
02008;86,8869498215766;4,78568613123439
02009;168,339425533163;14,926335855408
02010;57,9661016949152;19,3220338983051
02011;367,7181939775;34,3282259588562
02012;25,7042253521127;0
02013;121,506301276676;5,11828194828782
02014;215;25
02015;33,2051282051282;0
02016;59,7222222222222;9,9537037037037
02017;80,9461752232318;4,69855970314465
02018;761,857632952089;147,151861161298
02019;106,172653146855;9,98443121026363
02020;140;5
02021;21,2987012987013;0
02022;119,407806448721;15,3832641613414
02023;29,7058823529412;0
02024;16,3333333333333;0
02025;109,589334950781;4,97836265203219
02027;63,785046728972;9,81308411214953
02028;782,732133389402;99,8226624527119
02029;119,481965304635;4,96143476139769
02030;81,7214633104343;5,21606421386227
02031;190,164130877033;25,0740097874352
02032;75,296442687747;5,0197628458498
02033;29,1428571428571;0
02034;36,1864406779661;5,16949152542373
02035;70,972350437978;10,2299547657242
02036;19,4444444444444;4,86111111111111
02037;429,111540026094;85,2033602028325
02038;19,047619047619;0
02039;41,3338425209832;5,16673031512289
02040;49,438202247191;0
02041;241,106544212733;15,4410187709244
02042;117,697753084256;20,6795547426447
02043;19,6923076923077;14,7692307692308
02044;10;0
02046;169,219729504667;24,9252553591916
02047;35;10
02048;35,8203125;0
02049;231,444436051396;45,3300048624876
02050;95;10
02051;114,987145957643;5,00020550370939
02052;38,8235294117647;9,70588235294118
02053;165,856124646813;25,1269105681952
02054;166,698898820217;5,02090321596039
02055;24,438202247191;0
02056;50,8474576271186;5,08474576271186
02057;397,544140597433;70,3942064885714
02058;252,156565682685;40,3594346831036
02059;755,439768918833;130,751716014248
02060;83,7817340490521;14,4997863526425
02061;73,4807641924946;4,89871761283298
02062;40,9022556390977;5,11278195488722
02063;115,16807880271;5,05007137310573
02064;1036,72730482064;183,390814403419
02065;172,15722436104;20,9758099022954
02066;59,0816326530612;0
02067;70;10
02068;28,9772727272727;9,65909090909091
02069;29,4392523364486;0
02070;125;10
02071;207,990436865864;24,7624165615846
02072;51,6949152542373;10,3389830508475
02073;183,284446608079;28,236972125689
02074;179,907251711462;14,9553199170976
02075;59,3877551020408;0
02076;44,1346153846154;4,90384615384615
02078;50;0
02079;43,5197368421053;0
02080;108,535611230129;20,0293451152219
02081;118,323957010237;15,6159548716897
02082;34,6846846846847;0
02083;232,209645916083;25,6676527614558
02084;83,126381034917;9,62980904455347
02085;292,228595412022;30,3504033399406
02086;313,478909604103;50,1101352699517
02087;15;0
02088;27,5;5,5
02089;365,264052627014;60,1862809047084
02090;57,2564102564103;10,4102564102564
02091;34,6315789473684;4,94736842105263
02093;359,245251264407;40,4504970588314
02094;138,180359433339;5,03337420276409
02095;1469,37888601483;350,995591833516
02096;56,7553191489362;10,3191489361702
02097;78,2427198337241;5,05733907510326
02098;110,930210862826;5,0438211388489
02099;68,4162895927602;0
02100;40;5
02101;54,4110172586853;16,3233051776056
02102;45,9782608695652;5,10869565217391
02103;389,50395790768;86,198574820387
02104;34,6464646464647;4,94949494949495
02105;65;5
02106;217,383109835847;4,62568239535719
02107;30;20
02108;40;0
02109;144,532460754794;4,9801517960571
02110;621,59099711154;100,944681840161
02111;209,29823286936;25,3525145743592
02112;168,490887516772;4,99100898160553
02114;404,573138446262;56,9320504605735
02115;52,4615384615385;4,76923076923077
02116;42,7067669172932;5,33834586466165
02117;20,3030303030303;0
02118;39,6923076923077;0
02119;105;25
02120;65;10
02121;67,9918032786885;4,85655737704918
02122;20;15
02123;94,1683968762215;15,2640811845094
02124;204,384349008102;19,9492582947643
02125;50;10
02126;122,812209593157;4,74130063522005
02127;64,6614583333333;4,97395833333333
02128;435;85
02129;5;0
02130;61,5544041450777;0
02131;589,515882587608;40,3577230392632
02132;58,4771573604061;19,492385786802
02133;119,263557841566;4,81941371356771
02134;261,74338618574;9,85884068362108
02135;320,218405273584;50,6889045031716
02136;40;0
02137;46,1068702290076;5,76335877862595
02138;63,1578947368421;5,26315789473684
02139;141,180125350471;9,72981728956156
02140;135,801013787718;10,3112470239847
02141;460,972807912804;94,0292831601068
02142;76,2145748987854;10,1619433198381
02143;47,9166666666667;9,58333333333333
02144;43,75;4,86111111111111
02145;185;25
02146;32,3595505617978;5,39325842696629
02148;80,3182007821118;0
02149;20;0
02150;20;0
02151;35,304347826087;5,04347826086957
02152;29,3258426966292;9,7752808988764
02153;253,649824767294;33,9994377092058
02154;105,29142198156;5,00759635910651
02155;49,4162436548223;8,98477157360406
02156;76,4822134387352;10,197628458498
02157;270;50
02158;84,3107722539271;4,97416740681068
02159;90;0
02160;152,586536032381;0
02162;90;20
02163;711,932992165188;154,231296855315
02164;105;20
02165;490,326924607934;69,7603290598885
02166;110,970069480203;10,1130583031301
02167;265,0060935464;60,2007837990539
02168;4044,35095459492;932,650364148306
02169;15,1807228915663;0
02170;35;5
02171;25,5681818181818;5,11363636363636
02172;80,32;0
02173;3038,19032612816;712,744408634097
02174;255;50
02175;57,0886075949367;15,5696202531646
02176;60,2912621359223;5,02427184466019
02177;45,6474820143885;0
02178;36,3207547169811;0
02179;115;15
02180;225;45
02181;21,9072164948454;4,38144329896907
02182;36,16;0
02183;60;5
02184;82,1146476706003;10,1468024480218
02185;108,529656001196;15,045613592166
02186;384,352357450223;59,1082112291646
02187;337,783312543508;48,899128613843
02188;51,4184397163121;5,14184397163121
02189;106,618769894906;9,87172397734589
02190;161,887566706287;14,7411330314124
02191;159,578193573918;19,8658524198208
02192;104,899195544271;10,0324003019929
02193;15,234375;0
02194;55,6476683937824;9,27461139896373
02195;280;30
02196;98,5315252082273;0
02197;153,700323805934;19,6723605308734
02198;65;0
02199;184,026229112971;25,1293616032946
02200;29,4339622641509;0
02201;113,39527265914;4,72399453827959
02203;368,797498041247;49,7272138205935
02204;15;0
02205;70;10
02206;19,2307692307692;0
02207;60;10
02208;80;0
02209;199,018034941485;25,7110050089786
02210;114,310440715987;15,0211477650458
02211;86,4356428039196;4,67803343588062
02212;213,545002190876;35,5640822400626
02213;102,504805505466;0
02214;20;0
02215;237,325565092416;25,2236346740696
02216;102,252255454637;4,70469231412627
02217;267,377174668243;49,9581655959498
02218;190,372279029919;10,0396779938587
02219;55;5
02220;116,716357602865;15,1108713922768
02221;45;5
02222;17,4358974358974;8,71794871794872
02223;95,9553960003105;5,08761827956099
02224;92,8531795690362;19,7230664262116
02225;20,2439024390244;0
02226;576,521411204224;41,1431241742492
02227;40;5
02228;82,6834339978631;4,75208394916709
02229;25;10
02230;49,9988736821049;14,9996621046315
02231;273,554751231792;45,7139436196387
02232;60;5
02233;65,9090909090909;5,06993006993007
02234;25;0
02235;35;5
02236;99,8397774140941;14,9768275979483
02237;424,772611235718;69,9516549581139
02238;513,344196741328;94,7284618653384
02239;330,020280163847;55,6812585235995
02240;60;5
02241;25;0
02242;183,415699395671;35,2598849238044
02243;847,451092681353;140,424818307025
02244;19,6875;4,921875
02245;471,286825460839;85,453059741643
02246;184,208759875413;10,031183516922
02248;50;10
02249;29,7058823529412;0
02250;23,6842105263158;0
